warnings,steps,time,difference,activeCollisions,collisionStarts,characters,bodies,raycasts,clears,unblocks,explores,flees,pursues
1,36309,1681311942342,18,103,0,9,108,400,152,0,0,1,0
1,36310,1681311942359,17,103,1,9,108,400,59,0,0,1,0
1,36311,1681311942375,16,102,0,9,108,400,152,0,0,1,0
1,36312,1681311942391,16,102,1,9,108,400,59,0,0,1,0
1,36313,1681311942408,17,102,0,9,108,400,152,0,0,1,0
1,36314,1681311942424,16,102,1,9,108,400,59,0,0,1,0
1,36315,1681311942440,16,102,1,9,108,400,152,0,0,1,0
1,36316,1681311942456,16,100,1,9,108,400,59,0,0,1,0
1,36317,1681311942472,16,100,0,9,108,400,152,0,0,1,0
1,36318,1681311942489,17,98,1,9,108,400,59,0,0,1,0
1,36319,1681311942504,15,98,0,9,108,400,152,0,0,1,0
1,36320,1681311942521,17,98,1,9,108,400,59,0,0,1,0
1,36321,1681311942536,15,98,0,9,108,400,152,0,0,1,0
1,36322,1681311942553,17,98,2,9,108,400,59,0,0,1,0
1,36323,1681311942569,16,98,0,9,108,400,152,0,0,1,0
